exchange,symbol,instrument_token
NSE,MUKANDLTD-P1,2900225
NSE,MOTOGENFIN,580609
NSE,MITTAL-SM,608513
NSE,MEP,2245377
NSE,MBAPL-SM,4725761
NSE,MARATHON,4776705
NSE,MANAPPURAM-NJ,1462529
NSE,MADHAV,3878657
NSE,M&MFIN-N1,5131777
NSE,LAGNAM-SM,1202177
NSE,L&TFH,6386689
NSE,KRISHANA-SM,5043457
NSE,KOPRAN,491265
NSE,KILITCH,5103873
NSE,KALPATPOWR,464385
NSE,JTEKTINDIA,828673
NSE,JKLAKSHMI,3453697
NSE,JALAN-SM,5357825
NSE,ITI,428801
NSE,IRFC-NK,3009793
NSE,IRFC-N1,7968257
NSE,INNOVANA-SM,170497
NSE,IIHFL-N3,610305
NSE,IFCI-NG,1473281
NSE,IDFCBANK-NA,2769153
NSE,IDFCBANK,2863105
NSE,ICICI1298-NB,1522177
NSE,ICICI0699-NA,1677057
NSE,ICICI0101-N9,2488321
NSE,IBULHSGFIN-N9,4768257
NSE,IBUCCREDIT-N5,1255425
NSE,HUBTOWN,3635969
NSE,HMVL,4918017
NSE,HINDCOPPER,4592385
NSE,HESTERBIO,1804289
NSE,HCC,352001
NSE,GULFPETRO,2964737
NSE,GTPL,5425921
NSE,GOLDIAM,3064577
NSE,GNA,4754177
NSE,GIRRESORTS-IT,2543361
NSE,GET&D,4296449
NSE,GANGOTRI-BZ,5346817
NSE,FOCUS-SM,5239809
NSE,FEL,2692097
NSE,EUROMULTI-BE,4471297
NSE,EIFFL-SM,5183745
NSE,EDL,3862529
NSE,ECLFINANCE-NF,1093633
NSE,DYNAMATECH,1158401
NSE,DNAMEDIA-BE,165121
NSE,DHFL-Y1,868609
NSE,DHFL-NR,856833
NSE,DHFL-N2,4678145
NSE,DECCANCE,3798529
NSE,DALMIASUG,199937
NSE,CRMFGETF,8004353
NSE,CONTI-SM,647937
NSE,CIMMCO,6447105
NSE,CENTUM,3835393
NSE,CDSL,5420545
NSE,BUTTERFLY,695297
NSE,BODALCHEM,6404353
NSE,BILENERGY,5522177
NSE,BERGEPAINT,103425
NSE,BBTC,97281
NSE,BANARISUG,89601
NSE,BAJFINANCE,81153
NSE,ASIANHOTNR,4716033
NSE,ASAHIINDIA,1376769
NSE,ARCOTECH,641793
NSE,AMJLAND,665089
NSE,ALBERTDAVD,4417537
NSE,AIFL,2903297
NSE,ADVENZYMES,4617985
NSE,ACCORD-SM,5431553
NSE,883GS2041-GS,1795329
NSE,828GS2032-GS,1762561
NSE,813GS2045-GS,1823745
NSE,716GS2023-GS,1800961
